cynS,cynTS,14,71.8
cynT,cynTS,169.8,225.45
cynT,cynTSX,169.8,225.45
cynX,cynTSX,747.68,433.33
cyoA,cyoABCDE,83.44,49.94
cyoB,cyoABCDE,36.4,50.93
cyoC,cyoABCDE,53.59,32.99
cyoD,cyoABCDE,0,61.49
cyoE,cyoE,29.59,53.14
cyoE,cyoABCDE,29.59,53.14
cysA,cysPUWAM,6,30.8
cysB,cysB,101.42,208.11
cysC,cysDNC,119.66,167.41
cysC,cysC,119.66,167.41
cysD,cysDNC,14.5,66.97
cysE,cysE,176.43,164.56
cysG,cysG,67.17,59.07
cysG,nirBDC-cysG,67.17,59.07
cysH,cysJIH,26.91,0
cysH,cysH,26.91,0
cysI,cysJIH,7.7,11.84
cysJ,cysJIH,21.97,26.3
cysK,cysK,74.6,201.79
cysM,cysPUWAM,7.23,14.83
cysN,cysDNC,18.47,18.95
cysP,cysPUWAM,19.45,19.95
cysQ,cysQ,160.13,73.02
cysS,cysS,38.05,48.8
cysT,glyW-cysT-leuZ,0,0
cysT,cysT-leuZ,0,0
cysU,cysPUWAM,7.9,0
cysW,cysPUWAM,30.1,54.05
cysZ,cysZ,233.58,408.29
cytR,cytR,44.98,92.29
dacA,dacA,32.63,61.38
dacB,dacB,82.75,70.75
dacC,dacC,76.72,112.44
dacD,dacD,33.89,52.16
dadA,dadAX,45.67,20.83
dadX,dadAX,61.55,107.36
dam,aroKB-damX-dam-rpe-gph-trpS,204.77,339.39
dam,dam-rpe-gph-trpS,204.77,339.39
dam,damX-dam-rpe-gph-trpS,204.77,339.39
damX,damX-dam-rpe-gph-trpS,40.98,42.04
damX,aroKB-damX-dam-rpe-gph-trpS,40.98,42.04
dapA,dapA-nlpB,30,23.08
dapB,dapB,8.02,32.91
dapD,dapD,39.95,81.98
dapD,map-glnD-dapD,39.95,81.98
dapE,yffB-dapE-ypfN,35.06,59.96
dapE,dapE-ypfN,35.06,59.96
dapF,yifL-dapF-yigA-xerC-yigB,15.98,57.39
dbpA,dbpA-C0343,71.97,108.29
dcd,dcd,124.59,151.07
dcd,udk-dcd,124.59,151.07
dcm,dcm-vsr,32.52,38.13
